16992 usec, 3420 usec
1920 usec, 320 usec
540 usec, 320 usec
1460 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 300 usec
1460 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 300 usec
560 usec, 320 usec
1440 usec, 320 usec
540 usec, 320 usec
1460 usec, 300 usec
560 usec, 320 usec
520 usec, 340 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
1440 usec, 320 usec
560 usec, 300 usec
1460 usec, 320 usec
1440 usec, 320 usec
1460 usec, 300 usec
1460 usec, 320 usec
540 usec, 320 usec
540 usec, 320 usec
1460 usec, 300 usec
560 usec, 320 usec
1440 usec, 320 usec
1440 usec, 320 usec
1460 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
1440 usec, 320 usec
13664 usec, 3420 usec
1920 usec, 320 usec
540 usec, 320 usec
1440 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
540 usec, 320 usec
1460 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
1460 usec, 320 usec
540 usec, 320 usec
1440 usec, 320 usec
560 usec, 320 usec
540 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
560 usec, 300 usec
560 usec, 320 usec
540 usec, 320 usec
560 usec, 300 usec
1460 usec, 320 usec
540 usec, 320 usec
1460 usec, 300 usec
1460 usec, 300 usec
1460 usec, 320 usec
1440 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
1440 usec, 320 usec
560 usec, 300 usec
1460 usec, 320 usec
1440 usec, 320 usec
1440 usec, 320 usec
560 usec, 300 usec
560 usec, 320 usec
1440 usec, 320 usec
